id,mark,model,year,mileage,body_type,color,engine_vol,fuel,gearbox,cleared,price
64,Mercedes-Benz,CLK серия,1999,124459,Cabriolet,Blue,2298,Petrol,Automatic,0.0,2100
65,Chery,Amulet,2012,83500,Sedan,White,1500,Gas / petrol,Mechanical,1.0,4950
66,Volkswagen,Passat Variant,2010,257000,Universal,Black,2,Diesel,Mechanical,1.0,9600
67,Hyundai,Santa FE,2011,129000,SUV / Crossover,Blue,22,Diesel,Automatic,1.0,16500
68,Audi,A6,1999,0,Universal,Blue,25,Diesel,Automatic,0.0,700
69,Ford,KA,2003,184972,Cabriolet,Red,1600,Petrol,Mechanical,0.0,2100
70,Fiat,Doblo,2001,300000,Minivan,Gray,1910,Diesel,Mechanical,1.0,4870
71,Peugeot,207,2012,145000,Hatchback,White,1400,Petrol,Mechanical,1.0,6000
72,,G37,2008,77000,Coupe,Black,3700,Petrol,Automatic,1.0,18000
73,Renault,5,2005,188000,Hatchback,Red,16,Petrol,Mechanical,1.0,4950
74,Volkswagen,Golf,2014,0,Hatchback,White,1995,Petrol,Automatic,0.0,39316
75,Daewoo,Matiz,2007,92000,Hatchback,Blue,1,Gas / petrol,Mechanical,1.0,2800
76,Nissan,Qashqai,2013,198000,SUV / Crossover,Black,1600,Diesel,Mechanical,1.0,13700
77,Mazda,3,2005,145000,Sedan,Red,1600,Gas / petrol,Automatic,1.0,6300
78,VAZ,2106,1981,0,Sedan,Beige,1500,Petrol,Mechanical,1.0,573
79,Volvo,C30,2006,225000,Hatchback,Black,2000,Diesel,Mechanical,1.0,8100
80,Skoda,Octavia,2005,254000,Liftback,Blue,1600,Gas / petrol,Mechanical,1.0,5999
81,Mercedes-Benz,A серия,2000,230000,Hatchback,Cherry,1399,Petrol,Mechanical,1.0,4400
82,Citroen,Berlingo,2004,370,Passenger van (up to 1.5 tons),Silver,2000,Diesel,Mechanical,1.0,4700
83,ZAZ,Forza,2011,75000,Liftback,Gray,1500,Petrol,Mechanical,1.0,4450
84,Chevrolet,Aveo,2005,188000,Sedan,Silver,1500,Gas / petrol,Mechanical,1.0,4650
85,Nissan,Juke,2016,0,Universal,Cherry,1600,Diesel,Mechanical,1.0,7165
86,VAZ,2106,1988,0,Sedan,Beige,1500,Gas / petrol,Mechanical,1.0,1307
87,Daewoo,Sens,2003,0,Sedan,Red,1300,Gas / petrol,Mechanical,1.0,2600
88,Peugeot,207,2008,167000,Hatchback,Silver,1600,Diesel,Mechanical,1.0,5900
89,Mazda,6,2005,185000,Universal,Black,2,Diesel,Mechanical,0.0,850
90,Volkswagen,Sharan,2001,223,Minivan,Green,1896,Diesel,Mechanical,1.0,7000
91,Chevrolet,Niva,2018,5,Sedan,Gray,1690,Petrol,Mechanical,1.0,12342
92,Opel,Astra,2006,277000,Hatchback,Black,1398,Gas / petrol,Mechanical,1.0,6300
93,Volkswagen,Sharan,2002,219000,Minivan,Silver,1900,Diesel,Tiptronic,1.0,5999
94,Mazda,626,1987,100000,Hatchback,Gray,2000,Gas / petrol,Mechanical,1.0,1300
95,Fiat,Ducato,2014,140,Passenger van (up to 1.5 tons),White,2300,Diesel,Mechanical,1.0,13299
96,Nissan,Qashqai,2008,149000,SUV / Crossover,Red,2,Petrol,Variator,1.0,9900
