id,mark,model,year,mileage,body_type,color,engine_vol,fuel,gearbox,cleared,price
1243,Audi,A6 Allroad,2004,260000,Universal,Asphalt,2500,Diesel,Automatic,1.0,6990
1244,,XE,2017,26000,Sedan,White,3000,Petrol,Automatic,1.0,39500
1245,Other,,2007,240,Sedan,Black,20,Gas / petrol,Mechanical,1.0,3650
1246,Suzuki,Grand Vitara,2005,173100,SUV / Crossover,Black,2700,Petrol,Mechanical,1.0,8000
1247,Mazda,6,2015,40,Sedan,Blue,2500,Petrol,Tiptronic,1.0,14000
1248,Hyundai,Sonata,2014,70,Sedan,White,2400,Gas / petrol,Automatic,1.0,13000
1249,Mazda,Premacy,2005,290000,Minivan,Blue,1840,Gas / petrol,Mechanical,1.0,4500
1250,Volkswagen,Passat Sedan,1990,0,Sedan,Asphalt,1900,Diesel,Mechanical,1.0,3450
1251,Suzuki,Grand Vitara,2014,96000,SUV / Crossover,Brown,2400,Petrol,Automatic,1.0,16500
1252,Toyota,Corolla,2013,109000,Sedan,White,133,Petrol,Mechanical,1.0,12100
1253,Hyundai,Genesis,2013,100000,Coupe,White,2000,Petrol,Mechanical,1.0,14999
1254,Volvo,340-360,1990,0,Hatchback,Asphalt,14,Petrol,Mechanical,1.0,500
1255,Skoda,Superb,2006,155,Sedan,Black,1800,Petrol,Mechanical,1.0,8300
1256,ZAZ,1102,2007,161000,Pickup,White,1200,Gas / petrol,Mechanical,1.0,1150
1257,Mercedes-Benz,Sprinter,2007,657000,Passenger van (up to 1.5 tons),White,2200,Diesel,Mechanical,1.0,12000
1258,Mazda,6,2006,270000,Universal,Silver,2000,Diesel,Mechanical,1.0,7500
1259,Chevrolet,Tacuma,2005,235000,Universal,Blue,2000,Gas / petrol,Automatic,1.0,4000
1260,Honda,CR-V,2006,216000,SUV / Crossover,White,24,Gas / petrol,Automatic,1.0,9300
1261,Skoda,Octavia,2001,189000,Sedan,Gray,1600,Gas / petrol,Mechanical,1.0,5299
1262,Opel,Astra,2004,290000,Universal,Silver,1800,Gas / petrol,Mechanical,1.0,6490
1263,Opel,Combo,2008,207000,Hatchback,White,13,Diesel,Mechanical,1.0,3800
1264,Honda,Accord,1998,32000,Sedan,Green,2000,Gas / petrol,Automatic,1.0,3999
1265,Skoda,Octavia,2005,224,Liftback,Beige,1600,Gas / petrol,Mechanical,1.0,6500
1266,VAZ,2101,1976,0,Sedan,Red,13,Gas / petrol,Mechanical,1.0,850
1267,ZAZ,1103 Slavuta,2006,0,Liftback,Blue,1200,Gas / petrol,Mechanical,1.0,1230
1268,Ford,Kuga,2011,132000,SUV / Crossover,Black,2,Diesel,Automatic,1.0,12300
1269,BMW,3 серия,2001,0,Sedan,Blue,2,Diesel,Mechanical,0.0,1700
1270,VAZ,Другая,2008,0,Passenger van (up to 1.5 tons),Green,1600,Petrol,Mechanical,1.0,2800
1271,VAZ,21099,1999,70000,Sedan,Gray,1500,Petrol,Mechanical,1.0,2076
1272,VAZ,2106,1990,99999,Sedan,Beige,1600,Gas / petrol,Mechanical,1.0,1000
1273,Ford,Focus,2002,222000,Universal,Gray,1790,Diesel,Mechanical,1.0,4000
1274,VAZ,2103,1975,0,Sedan,Gray,1500,Gas / petrol,Mechanical,1.0,430
1275,Mitsubishi,Другая,1999,198000,Passenger van (up to 1.5 tons),Green,2500,Diesel,Mechanical,1.0,3700
1276,GAZ,69,1971,400,SUV / Crossover,Olive,2120,Petrol,Mechanical,1.0,4500
1277,Volkswagen,Caddy,1997,270000,Passenger van (up to 1.5 tons),White,1900,Diesel,Mechanical,1.0,3500
1278,VAZ,2108,1991,10000,Hatchback,Red,1500,Petrol,Mechanical,1.0,900
1279,Moskvich/AZLK,2125,1986,15052,Passenger van (up to 1.5 tons),Green,15,Petrol,Mechanical,1.0,500
1280,Volkswagen,Golf,2011,219000,Universal,Silver,1,Diesel,Mechanical,1.0,7850
1281,Chevrolet,Lacetti,2007,145201,Sedan,Gray,1600,Gas / petrol,Mechanical,1.0,6600
1282,Hyundai,Sonata,2015,77,Sedan,Blue,24,Petrol,Automatic,1.0,14000
1283,VAZ,2109,1990,0,Other,Black,1500,Gas / petrol,Mechanical,1.0,1500
1284,Skoda,Superb,2012,92000,Sedan,Silver,1800,Petrol,Mechanical,1.0,12000
1285,VAZ,2107,1996,0,Sedan,Blue,13,Gas / petrol,Mechanical,1.0,1500
1286,VAZ,2170 Priora Седан,2008,0,Sedan,Silver,1600,Gas / petrol,Mechanical,1.0,5000
1287,Skoda,Octavia,2014,207,Universal,White,1600,Gas / petrol,Mechanical,1.0,11950
1288,Mercedes-Benz,E серия,2001,354000,Sedan,Silver,27,Diesel,Mechanical,1.0,4650
1289,Moskvich/AZLK,2141,1993,1000,Hatchback,Blue,15,Petrol,Mechanical,1.0,0
1290,VAZ,2106,1989,0,Sedan,White,1300,Petrol,Mechanical,1.0,692
1291,VAZ,21055,1983,90000,Sedan,Red,1200,Petrol,Mechanical,1.0,1150
1292,Daewoo,Lanos (Sens),2007,108,Sedan,Black,1500,Gas / petrol,Mechanical,1.0,4200
1293,Mazda,6,2006,250000,Universal,Blue,2000,Diesel,Mechanical,1.0,6700
1294,Volkswagen,Passat Variant,1980,0,Universal,Red,1599,Diesel,Mechanical,1.0,750
1295,VAZ,2115,2005,150600,Sedan,Black,1500,Gas / petrol,Mechanical,1.0,3850
1296,Mitsubishi,L 200,2009,140000,Pickup,Black,2500,Diesel,Automatic,0.0,17000
1297,Suzuki,Grand Vitara,2010,91000,SUV / Crossover,Golden,2400,Petrol,Automatic,1.0,12000
1298,Volkswagen,Passat Variant,2002,337000,Universal,White,1900,Diesel,Mechanical,0.0,39316
1299,Toyota,Camry,2015,92,Sedan,Silver,2500,Petrol,Tiptronic,1.0,15576
1300,Daewoo,Sens,2005,140000,Sedan,Violet,1300,Gas / petrol,Mechanical,1.0,3100
1301,BMW,X3,2004,218000,Other,Black,3000,Diesel,Automatic,1.0,12500
1302,Peugeot,207,2011,91000,Cabriolet,Black,16,Petrol,Mechanical,1.0,7900
1303,Fiat,Doblo,2011,300000,Passenger van (up to 1.5 tons),White,1300,Diesel,Mechanical,1.0,5400
1304,Opel,Omega,1994,310,Sedan,Cherry,2000,Gas / petrol,Mechanical,1.0,2800
1305,Lexus,LX серія,2000,239,SUV / Crossover,Black,47,Gas / petrol,Automatic,1.0,13500
1306,Skoda,Octavia,2000,330,Sedan,Silver,1900,Diesel,Mechanical,0.0,1050
1307,Alfa Romeo,159,2006,267000,Sedan,Gray,1900,Diesel,Mechanical,1.0,8500
1308,Volkswagen,Caddy,2006,215000,Passenger van (up to 1.5 tons),Orange,1900,Diesel,Mechanical,1.0,4850
1309,ZAZ,968,1991,90000,Universal,White,1197,Petrol,Mechanical,1.0,576
1310,Ford,Transit,1990,0,Passenger van (up to 1.5 tons),White,2500,Diesel,Mechanical,1.0,3000
1311,VAZ,2106,1988,120000,Sedan,Brown,1500,Petrol,Mechanical,1.0,850
1312,Daewoo,Lanos (Sens),2005,138000,Sedan,Gray,1500,Petrol,Mechanical,1.0,3750
1313,Daewoo,Lanos (Sens),2000,190000,Sedan,Gray,1500,Gas / petrol,Mechanical,1.0,2950
1314,BMW,5 серия,2001,421000,Sedan,Black,3000,Diesel,Automatic,1.0,6400
1315,Renault,Laguna,2001,320000,Universal,Blue,1800,Gas / petrol,Mechanical,0.0,1600
1316,Geely,MK,2013,40000,Sedan,Gray,1500,Petrol,Mechanical,1.0,5700
1317,Mercedes-Benz,Vito,2008,190000,Minivan,White,2246,Diesel,Mechanical,1.0,9500
1318,Chevrolet,Aveo,2006,132500,Hatchback,Black,1500,Petrol,Mechanical,1.0,4000
1319,Volkswagen,Bora,2000,0,Sedan,Green,1600,Petrol,Mechanical,1.0,4500
1320,Alfa Romeo,GT,2004,0,Coupe,Gray,1900,Diesel,Mechanical,1.0,6800
1321,Mazda,3,2016,57000,Sedan,Black,2000,Petrol,Tiptronic,1.0,9700
1322,Audi,A6,2000,330000,Universal,Black,255,Diesel,Mechanical,0.0,2099
1323,VAZ,2109,1992,58745,Hatchback,Cherry,1500,Gas / petrol,Mechanical,1.0,2000
1324,Ford,Transit,1996,0,Other,Cherry,2500,Diesel,Mechanical,1.0,2900
1325,Volkswagen,Passat Sedan,2006,214000,Sedan,Silver,2,Petrol,Automatic,1.0,9500
1326,Moskvich/AZLK,2137,1984,30150,Hatchback,Red,15,Petrol,Mechanical,1.0,650
1327,Peugeot,605,1992,0,Sedan,Beige,3000,Gas / petrol,Automatic,1.0,2950
1328,Mercedes-Benz,S серия,2000,310000,Sedan,Black,50,Petrol,Automatic,1.0,8500
1329,Mitsubishi,Pajero Sport,2008,140000,SUV / Crossover,Silver,3,Gas / petrol,Automatic,1.0,10500
1330,Skoda,Favorit,1997,111,Pickup,White,1300,Gas / petrol,Mechanical,1.0,1100
1331,Mazda,323,2000,300000,Hatchback,Blue,2000,Diesel,Mechanical,0.0,1200
1332,Opel,Omega,1987,400000,Sedan,White,2,Gas / petrol,Mechanical,1.0,2000
1333,Citroen,C3,2004,130,Hatchback,Gray,1600,Petrol,Mechanical,1.0,4900
1334,Mazda,323,1995,0,Hatchback,Gray,1500,Gas / petrol,Mechanical,0.0,384
1335,Great Wall,haval,2012,94000,SUV / Crossover,White,2000,Diesel,Automatic,1.0,11500
1336,Daewoo,Sens,2007,305,Sedan,Silver,13,Petrol,Mechanical,1.0,2200
1337,ZAZ,Другая,2005,118000,Sedan,Silver,1197,Petrol,Mechanical,1.0,1346
1338,Fiat,Tipo,1988,0,Hatchback,Blue,1400,Gas / petrol,Mechanical,1.0,1923
1339,Audi,A6,1996,350000,Universal,Blue,2500,Diesel,Mechanical,0.0,2150
1340,Chery,Tiggo,2018,0,SUV / Crossover,White,1497,Petrol,Mechanical,1.0,11846
1341,BMW,5 серия,1999,270000,Sedan,Cherry,3000,Diesel,Automatic,1.0,6000
1342,Volkswagen,Golf,1997,1,Sedan,Beige,14,Gas / petrol,Mechanical,1.0,3900
1343,Skoda,Octavia,2010,210,Universal,Cherry,1200,Petrol,Automatic,1.0,8900
1344,Hyundai,i30,2012,113000,Universal,White,1600,Diesel,Mechanical,1.0,9300
1345,Volkswagen,Golf,1996,350000,Sedan,Violet,1900,Diesel,Mechanical,0.0,442
1346,Mazda,626,1990,0,Hatchback,Blue,2000,Gas / petrol,Mechanical,1.0,1600
1347,Mercedes-Benz,E серия,2000,290,Universal,Silver,32,Diesel,Tiptronic,1.0,7900
1348,UAZ,469,2005,5000,SUV / Crossover,Green,2,Petrol,Mechanical,0.0,700
1349,Opel,Rekord,1983,40,Sedan,Brown,2000,Petrol,Mechanical,1.0,700
1350,Volkswagen,Passat Sedan,1998,350,Sedan,Blue,1900,Diesel,Mechanical,1.0,5000
1351,Volkswagen,Passat Variant,2012,160000,Universal,Black,1400,Gas / petrol,Automatic,1.0,11650
1352,Skoda,Fabia,2008,127000,Hatchback,Cherry,1200,Petrol,Mechanical,1.0,5400
1353,Other,,1994,120000,Hatchback,White,1300,Petrol,Mechanical,1.0,800
1354,Renault,Grand Scenic,2012,213,Minivan,Gray,1500,Diesel,Automatic,1.0,8900
1355,Opel,Vectra,1994,0,Hatchback,White,16,Gas / petrol,Mechanical,1.0,2650
1356,Mercedes-Benz,Sprinter,1998,0,Other,White,2900,Diesel,Mechanical,1.0,5600
1357,Renault,Trafic,2007,121000,Other,Yellow,2000,Diesel,Mechanical,1.0,7900
1358,Chevrolet,Epica,2007,107000,Sedan,Black,2000,Petrol,Mechanical,1.0,7900
1359,Peugeot,Expert,2007,226000,Passenger van (up to 1.5 tons),White,1,Diesel,Mechanical,1.0,6000
1360,Volkswagen,Passat Variant,1987,111,Universal,White,1600,Diesel,Mechanical,1.0,1700
1361,BMW,5 серия,1999,182000,Sedan,Black,2000,Gas / petrol,Automatic,0.0,3350
1362,VAZ,2107,1988,0,Hatchback,Blue,1600,Petrol,Mechanical,1.0,900
1363,Opel,Astra,2011,160000,Hatchback,White,13,Diesel,Mechanical,1.0,7200
1364,Chevrolet,Lacetti,2005,90,Sedan,Blue,1800,Petrol,Mechanical,1.0,5500
1365,Opel,Combo,2006,215,Minivan,White,13,Diesel,Mechanical,0.0,4500
1366,Opel,Corsa,2000,220000,Hatchback,Black,1,Petrol,Mechanical,1.0,2300
1367,Hyundai,Elantra,2012,55000,Sedan,Black,1600,Petrol,Tiptronic,1.0,11800
1368,VAZ,2101,1985,10100,Sedan,Yellow,1500,Petrol,Mechanical,1.0,461
1369,Audi,A6,2006,27000,Coupe,Silver,24,Petrol,Mechanical,1.0,21000
1370,ZAZ,1103 Slavuta,2004,206000,Liftback,Gray,1200,Gas / petrol,Mechanical,1.0,700
1371,Fiat,Punto,2011,255000,Hatchback,Red,1300,Diesel,Mechanical,1.0,5750
1372,Renault,Laguna,2001,275300,Universal,Chameleon,1870,Diesel,Mechanical,1.0,5000
1373,VAZ,2106,1991,200,Sedan,White,1300,Gas / petrol,Automatic,1.0,1100
1374,Daewoo,Sens,2007,240500,Sedan,Silver,1300,Gas / petrol,Mechanical,1.0,3500
1375,VAZ,2106,1988,0,Sedan,Beige,1300,Gas / petrol,Mechanical,1.0,1000
1376,Skoda,Octavia,1997,0,Liftback,Silver,1600,Gas / petrol,Mechanical,1.0,3000
1377,Citroen,C3,2011,105000,Hatchback,Blue,1600,Gas / petrol,Tiptronic,1.0,8600
1378,,969М,1983,0,SUV / Crossover,Blue,1200,Petrol,Mechanical,1.0,846
1379,Geely,Другая,2014,40000,Sedan,Red,15,Gas / petrol,Mechanical,1.0,5000
1380,Volkswagen,Tiguan,2017,29000,SUV / Crossover,Black,2000,Petrol,Automatic,1.0,19900
1381,Audi,Q5,2013,90000,SUV / Crossover,Black,2000,Gas / petrol,Automatic,1.0,20600
1382,Volkswagen,Jetta,2018,200,Sedan,White,1400,Petrol,Automatic,1.0,17000
1383,Seat,Ibiza,2011,195000,Universal,Gray,1200,Diesel,Mechanical,1.0,6800
1384,Mazda,6,2003,0,Universal,Blue,2000,Diesel,Mechanical,0.0,1000
1385,Hyundai,Tucson,2011,100,SUV / Crossover,Blue,2,Petrol,Tiptronic,1.0,12500
1386,Volkswagen,Passat Sedan,1996,0,Sedan,Cherry,1800,Gas / petrol,Mechanical,1.0,5000
1387,Hyundai,H1 (Starex),2008,220000,Other,White,2400,Gas / petrol,Mechanical,1.0,11500
1388,ZAZ,1103 Slavuta,2009,244000,Sedan,Blue,1299,Gas / petrol,Mechanical,1.0,2100
1389,Opel,Kadett,1987,17000,Sedan,Cherry,1,Petrol,Mechanical,1.0,2700
1390,Audi,Q7,2007,210000,Universal,Black,4200,Petrol,Automatic,1.0,16500
1391,Volkswagen,Jetta,2007,192,Sedan,Black,20,Petrol,Mechanical,1.0,7500
1392,Renault,Trafic,2009,0,Passenger van (up to 1.5 tons),White,1995,Diesel,Mechanical,1.0,9450
1393,Mitsubishi,Outlander,2017,26000,SUV / Crossover,Black,2400,Petrol,Automatic,0.0,4900
1394,Smart,Fortwo,2015,71000,Hatchback,Silver,1,Electro,Automatic,1.0,9500
1395,Chevrolet,Captiva,2012,65000,Universal,Black,22,Diesel,Automatic,1.0,15000
1396,BMW,5 серия,2006,172,Sedan,Silver,23,Gas / petrol,Automatic,1.0,10000
1397,Kia,Rio (Pride),2005,114,Hatchback,Red,1400,Petrol,Mechanical,1.0,5500
1398,Renault,Megane,2005,264000,Hatchback,Black,1900,Diesel,Mechanical,0.0,1400
1399,Daewoo,Lanos (Sens),2014,91000,Sedan,Silver,1300,Gas / petrol,Mechanical,1.0,3600
1400,Mercedes-Benz,E серия,1997,300000,Sedan,Silver,2200,Diesel,Mechanical,0.0,1500
1401,Renault,Megane,2004,260000,Universal,Black,15,Diesel,Mechanical,1.0,5900
1402,Audi,A4,1996,345000,Sedan,Black,2600,Gas / petrol,Mechanical,1.0,5300
1403,Mazda,6,2018,1000,Sedan,White,2500,Petrol,Automatic,1.0,13000
1404,Volvo,XC60,2012,65200,SUV / Crossover,Black,3000,Petrol,Automatic,0.0,5500
1405,Toyota,Corolla,2001,213000,Liftback,Silver,1400,Gas / petrol,Mechanical,1.0,4900
1406,Fiat,Scudo,1997,400000,Other,White,1900,Diesel,Mechanical,1.0,4000
1407,VAZ,2101,1973,0,Sedan,Yellow,1300,Petrol,Mechanical,1.0,500
1408,Opel,Omega,1997,0,Sedan,Gray,2500,Gas / petrol,Automatic,1.0,4300
1409,Mercedes-Benz,gle,2017,18844,SUV / Crossover,Gray,3500,Petrol,Automatic,0.0,19800
1410,Daewoo,Lanos (Sens),2007,170000,Sedan,Green,1500,Gas / petrol,Mechanical,1.0,3846
1411,Chevrolet,Aveo,2007,217,Sedan,White,1500,Gas / petrol,Mechanical,1.0,5350
1412,ZAZ,968,1981,0,Sedan,Orange,1100,Petrol,Mechanical,1.0,230
1413,Chevrolet,Volt,2013,80000,Hatchback,Brown,14,Hybrid,Automatic,1.0,14200
1414,Volkswagen,Passat Sedan,2014,55,Sedan,White,1800,Petrol,Tiptronic,1.0,7500
1415,Toyota,Corolla,2017,25000,Sedan,Black,1800,Petrol,Automatic,1.0,0
1416,VAZ,21099i,2008,180000,Sedan,Black,1600,Petrol,Mechanical,1.0,3100
1417,Opel,Rekord,1986,0,Universal,White,1800,Gas / petrol,Mechanical,1.0,600
1418,Audi,A4,2011,250000,Universal,Black,1968,Diesel,Automatic,1.0,13800
1419,Toyota,Yaris,2012,142000,Hatchback,White,1000,Petrol,Mechanical,1.0,6899
1420,Volkswagen,Crafter,2008,400,Passenger van (up to 1.5 tons),White,2498,Diesel,Variator,1.0,9500
1421,VAZ,2108,1986,150000,Hatchback,White,1500,Gas / petrol,Mechanical,1.0,1700
1422,Hyundai,Coupe,2007,120000,Coupe,Black,2000,Petrol,Mechanical,1.0,6900
1423,Moskvich/AZLK,403,1967,0,Sedan,Blue,1400,Petrol,Mechanical,1.0,600
1424,Opel,Vectra,2004,1000,Sedan,Black,2200,Gas / petrol,Mechanical,1.0,6100
1425,Volkswagen,Vento,1996,0,Sedan,Silver,1800,Petrol,Mechanical,1.0,3800
1426,Volkswagen,LT,1995,150000,Passenger van (up to 1.5 tons),Yellow,2400,Diesel,Mechanical,1.0,2850
1427,Opel,Vectra,2000,336,Universal,Green,2200,Diesel,Mechanical,1.0,2000
1428,Nissan,Leaf,2013,56900,Hatchback,Black,1,Electro,Automatic,0.0,6000
1429,Mercedes-Benz,E серия,1997,380000,Sedan,Silver,2200,Diesel,Mechanical,0.0,2800
1430,VAZ,2108,1988,0,Sedan,Red,1499,Petrol,Mechanical,1.0,1730
1431,Kia,Rio (Pride),2013,115000,Sedan,Asphalt,1600,Petrol,Mechanical,1.0,9400
1432,Fiat,500,2015,0,Hatchback,Blue,1,Electro,Automatic,1.0,12700
1433,Renault,Scenic,2001,217,Sedan,Olive,2,Gas / petrol,Mechanical,1.0,5750
1434,Ford,Sierra,1987,200000,Hatchback,Gray,20,Gas / petrol,Mechanical,1.0,1590
1435,Audi,A4,2015,65000,Sedan,Black,2000,Petrol,Tiptronic,1.0,17500
1436,Audi,A6,1998,300000,Sedan,Blue,2400,Petrol,Automatic,0.0,1300
1437,VAZ,2121,1984,100000,SUV / Crossover,Beige,1600,Gas / petrol,Mechanical,1.0,2200
1438,Toyota,Corolla,1986,300520,Sedan,Gray,1500,Petrol,Mechanical,1.0,400
1439,VAZ,2106,1990,0,Hatchback,Black,13,Gas / petrol,Mechanical,1.0,692
1440,Peugeot,Другая,2013,100000,Sedan,Gray,1600,Diesel,Mechanical,1.0,8400
1441,VAZ,2102,1976,75000,Universal,Red,1200,Petrol,Mechanical,1.0,650
1442,Hyundai,H200,1998,260,Minivan,White,25,Diesel,Mechanical,1.0,4615
1443,Honda,Accord,2006,180,Sedan,Black,2,Petrol,Automatic,1.0,8300
1444,BMW,3 серия,1998,11111,Sedan,Gray,2000,Diesel,Mechanical,0.0,1100
1445,Volkswagen,Jetta,1987,189,Sedan,Asphalt,18,Gas / petrol,Mechanical,1.0,1300
1446,VAZ,2107,1996,1,Sedan,Violet,1,Petrol,Mechanical,1.0,2000
1447,Opel,Combo,2006,230000,Universal,White,1300,Diesel,Mechanical,1.0,5900
1448,Opel,Vectra,2002,0,Liftback,Green,2,Diesel,Mechanical,1.0,4000
1449,Renault,Megane,2014,178000,Universal,Blue,1500,Diesel,Automatic,1.0,10700
1450,Opel,Astra,2005,0,Universal,Black,1686,Diesel,Mechanical,0.0,3600
1451,Mazda,3,2004,0,Hatchback,Black,1560,Diesel,Mechanical,1.0,6400
1452,Nissan,Primera,2006,152000,Universal,Gray,1998,Petrol,Variator,1.0,5999
1453,Daewoo,Espero,1997,280000,Sedan,Cherry,2000,Petrol,Mechanical,1.0,2230
1454,Hyundai,Getz,2003,123000,Hatchback,Gray,1400,Gas / petrol,Automatic,1.0,4800
1455,Opel,Insignia,2010,141000,Universal,Blue,2000,Diesel,Mechanical,1.0,10100
1456,Hyundai,Santa FE,2006,129000,SUV / Crossover,Black,2200,Diesel,Automatic,1.0,8800
1457,BMW,5 серия,2001,280000,Sedan,Green,4400,Gas / petrol,Automatic,1.0,5900
1458,Subaru,Forester,2013,70,SUV / Crossover,Gray,2500,Petrol,Variator,1.0,13300
1459,Opel,Vectra,1998,250000,Sedan,Cherry,1600,Gas / petrol,Mechanical,0.0,700
1460,Subaru,Impreza,2010,185000,Hatchback,White,20,Diesel,Mechanical,1.0,7700
1461,Renault,Symbol (Thalia),2003,195,Sedan,Gray,1400,Petrol,Mechanical,1.0,3600
1462,Daewoo,Lanos (Sens),1999,213580,Sedan,Cherry,1500,Gas / petrol,Mechanical,0.0,1000
1463,Other,,0,0,,,0,,,,0
1464,Toyota,RAV 4,1999,220000,SUV / Crossover,Black,2000,Gas / petrol,Automatic,1.0,5596
1465,VAZ,2106,1990,0,Sedan,White,1300,Petrol,Mechanical,1.0,1200
1466,BMW,5 серия,1987,360000,Sedan,Gray,2,Petrol,Mechanical,1.0,2100
1467,Renault,Megane,2013,191000,Universal,Gray,1461,Diesel,Mechanical,1.0,11200
1468,Hyundai,Coupe,1999,323586,Coupe,Green,1600,Gas / petrol,Mechanical,0.0,950
1469,VAZ,21063,1987,0,Sedan,White,1800,Petrol,Mechanical,1.0,1000
1470,Ford,Focus,2010,192000,Universal,Silver,1600,Diesel,Mechanical,1.0,7900
1471,Seat,Malaga,1986,0,Sedan,Red,1500,Petrol,Mechanical,1.0,1400
1472,Mazda,3,2005,127000,Hatchback,Silver,1600,Diesel,Mechanical,0.0,2650
1473,Peugeot,4008,2014,110000,SUV / Crossover,Black,1600,Diesel,Mechanical,1.0,14500
1474,Hyundai,Elantra,2013,118000,Sedan,Black,1800,Petrol,Mechanical,1.0,11700
1475,Volkswagen,Golf,2007,192000,Universal,White,1900,Diesel,Mechanical,1.0,7100
1476,Skoda,Octavia,2008,162400,Universal,Blue,2000,Petrol,Mechanical,1.0,7900
1477,Renault,Scenic II,2004,185,Universal,Gray,1500,Diesel,Mechanical,1.0,5200
1478,Volkswagen,Passat CC,2010,104000,Sedan,Black,2000,Petrol,Automatic,1.0,12500
1479,Citroen,C5,2002,27000,Universal,Asphalt,2000,Diesel,Mechanical,0.0,1000
1480,,EX 25,2012,82000,SUV / Crossover,Cherry,2500,Gas / petrol,Automatic,1.0,19999
1481,VAZ,2108,1987,0,Other,Beige,1500,Petrol,Mechanical,1.0,692
1482,Honda,Civic,2016,21500,Sedan,White,1998,Petrol,Variator,1.0,14800
1483,Volkswagen,Golf,2014,94000,Hatchback,Black,2000,Petrol,Automatic,1.0,20700
1484,Nissan,Note,2008,128,Hatchback,Black,1600,Gas / petrol,Automatic,1.0,7400
1485,Chery,Tiggo,2012,150000,SUV / Crossover,Silver,1800,Gas / petrol,Mechanical,1.0,6000
1486,Peugeot,206,2008,265000,Hatchback,Silver,1400,Petrol,Mechanical,1.0,4300
1487,VAZ,2101,1973,0,Sedan,Gray,1300,Petrol,Mechanical,1.0,423
1488,VAZ,2101,1984,1000,Sedan,Beige,1300,Petrol,Mechanical,1.0,634
1489,Opel,Vectra,2005,200000,Sedan,Silver,32,Petrol,Mechanical,1.0,6500
1490,BMW,5 серия,1996,0,Sedan,Asphalt,2000,Petrol,Mechanical,1.0,570
1491,ZAZ,1102,1990,200000,Hatchback,Red,11,Gas / petrol,Mechanical,1.0,1076
1492,Audi,A6,2001,280000,Universal,Silver,2500,Diesel,Tiptronic,1.0,6150
1493,SsangYong,Kyron,2006,0,SUV / Crossover,Cherry,2000,Diesel,Tiptronic,1.0,9000
1494,Ford,Fiesta,2015,33,Sedan,Silver,1600,Petrol,Automatic,1.0,9700
1495,Mitsubishi,Outlander,2006,300000,SUV / Crossover,Red,2400,Petrol,Mechanical,0.0,3200
1496,Audi,A4,2015,186000,Universal,Brown,1968,Diesel,Mechanical,1.0,17950
1497,Moskvich/AZLK,2140,1983,85196,Sedan,Orange,1500,Petrol,Mechanical,1.0,442
1498,Volkswagen,Jetta,1985,400000,Sedan,Blue,1600,Petrol,Mechanical,1.0,2000
1499,VAZ,2101,1981,0,Sedan,Red,1300,Petrol,Mechanical,1.0,1200
1500,Ford,Fusion (USA),2015,64000,Sedan,Asphalt,2500,Petrol,Automatic,1.0,16200
1501,Mazda,3,2015,32000,Sedan,Gray,16,Petrol,Automatic,1.0,15200
1502,Kia,Cerato (Forte),2007,118,Sedan,Red,2,Gas / petrol,Mechanical,1.0,7300
1503,Volkswagen,Transporter,2003,200000,Minivan,Silver,2500,Diesel,Mechanical,1.0,8000
1504,Ford,Focus,2008,272000,Hatchback,Blue,1400,Petrol,Mechanical,1.0,6400
1505,Chevrolet,Niva,2012,65800,SUV / Crossover,Black,1700,Petrol,Mechanical,1.0,2300
1506,Nissan,Leaf,2012,53,Hatchback,White,1,Electro,Automatic,1.0,9500
1507,Volkswagen,Touran,2004,221800,Minivan,Silver,1896,Diesel,Mechanical,0.0,4700
1508,Mercedes-Benz,220,2004,380000,Sedan,Blue,2200,Diesel,Automatic,0.0,2700
1509,Daewoo,Lanos (Sens),2002,205874,Sedan,Gray,1500,Gas / petrol,Mechanical,1.0,3200
1510,Moskvich/AZLK,2140,1984,0,Sedan,Blue,1500,Petrol,Mechanical,1.0,500
1511,Opel,Corsa,2013,145000,Hatchback,Blue,1278,Diesel,Mechanical,1.0,6000
1512,Renault,Laguna,2004,250000,Universal,Gray,19,Diesel,Mechanical,1.0,4700
1513,Hyundai,Accent,2003,279,Sedan,Gray,1500,Gas / petrol,Mechanical,1.0,4800
1514,Audi,A4,1997,470000,Universal,Green,19,Diesel,Mechanical,0.0,950
1515,VAZ,2107,2003,0,Sedan,Violet,1600,Petrol,Mechanical,1.0,1100
1516,VAZ,2170 Priora Седан,2008,150000,Sedan,Black,1600,Gas / petrol,Mechanical,1.0,5200
1517,Daewoo,Lanos (Sens),2011,84560,Sedan,Gray,1500,Gas / petrol,Mechanical,1.0,4500
1518,Peugeot,Expert,2006,225600,Minivan,White,1898,Diesel,Mechanical,1.0,6269
1519,Renault,Trafic,2004,368,Minivan,White,19,Diesel,Mechanical,1.0,6100
1520,BMW,5 серия,2003,314000,Sedan,Black,3000,Diesel,Automatic,0.0,6800
1521,Nissan,Skyline,1978,0,Sedan,White,2,Petrol,Mechanical,1.0,3900
1522,Volkswagen,Passat Hatchback,2001,320,Universal,Blue,19,Diesel,Mechanical,1.0,5700
1523,Jeep,Patriot,2016,70000,Minivan,Asphalt,2400,Petrol,Automatic,1.0,14500
1524,BMW,3 серия,1998,300000,Sedan,Blue,2800,Gas / petrol,Automatic,1.0,7000
1525,Opel,Zafira,2008,207000,Universal,Blue,1900,Diesel,Mechanical,1.0,7400
1526,VAZ,2104,2006,97000,Universal,Cherry,1500,Gas / petrol,Mechanical,1.0,1153
